politician,date,answer,pct_estimate,lo,hi
Joe Biden,2023-07-24,Disapprove,54.79455224559155,50.25957192634103,59.32953256484206
Joe Biden,2023-07-23,Approve,40.950307234638444,36.4273916157974,45.47322285347949
Joe Biden,2023-07-23,Disapprove,54.956394501099474,50.426491991358944,59.486297010840005
Joe Biden,2023-07-22,Approve,40.93501439999398,36.412098781152935,45.45793001883503
Joe Biden,2023-07-22,Disapprove,54.96513356913934,50.43523105939881,59.49503607887987
Joe Biden,2023-07-21,Approve,40.8159053326217,36.292591886742414,45.33921877850099
Joe Biden,2023-07-21,Disapprove,55.05658230595059,50.52493370849395,59.588230903407236
Joe Biden,2023-07-20,Approve,40.82475266604139,36.294414488507115,45.35509084357567
Joe Biden,2023-07-20,Disapprove,54.586626241755155,50.0469236594722,59.12632882403811
Joe Biden,2023-07-19,Approve,41.161465434727674,36.637392196524075,45.68553867293127
Joe Biden,2023-07-19,Disapprove,54.52975910111146,49.990228487151,59.06928971507192
Joe Biden,2023-07-18,Approve,39.12238843095345,34.598573279915456,43.64620358199144
Joe Biden,2023-07-18,Disapprove,55.43713485685107,50.89336910857952,59.98090060512261
Joe Biden,2023-07-17,Approve,39.0740633772805,34.55208953727179,43.596037217289215
Joe Biden,2023-07-17,Disapprove,55.594206211314884,51.05102778888198,60.137384633747786
Joe Biden,2023-07-16,Approve,41.058999021211434,36.5414534988724,45.57654454355047
Joe Biden,2023-07-16,Disapprove,54.071133322249295,49.53031338674691,58.61195325775168
Joe Biden,2023-07-15,Approve,40.37239998956425,35.85665196456787,44.888148014560635
Joe Biden,2023-07-15,Disapprove,54.63857158186179,50.09837516981409,59.17876799390949
Joe Biden,2023-07-14,Approve,40.68081776348143,36.163077509419665,45.19855801754319
Joe Biden,2023-07-14,Disapprove,54.40133742864832,49.86498043880266,58.937694418493976
Joe Biden,2023-07-13,Approve,40.58208841708763,36.0602325316503,45.103944302524965
Joe Biden,2023-07-13,Disapprove,54.290848151607406,49.74938950517819,58.83230679803662
Joe Biden,2023-07-12,Approve,40.44441552136733,35.929013572806696,44.95981746992797
Joe Biden,2023-07-12,Disapprove,54.76289958157353,50.22274093551374,59.303058227633315
Joe Biden,2023-07-11,Approve,40.62150064302029,36.10284362547158,45.140157660569
Joe Biden,2023-07-11,Disapprove,54.289431918943194,49.74769865144583,58.83116518644056
Joe Biden,2023-07-10,Approve,40.510498601107884,35.992165976982704,45.02883122523306
Joe Biden,2023-07-10,Disapprove,54.42079002363878,49.87733246544491,58.96424758183265
Joe Biden,2023-07-09,Approve,41.12872834473212,36.610710152730356,45.64674653673388
Joe Biden,2023-07-09,Disapprove,53.329255014304984,48.78855645564915,57.86995357296082
Joe Biden,2023-07-08,Approve,39.9693519060964,35.45678878360769,44.48191502858511
Joe Biden,2023-07-08,Disapprove,54.531898567607506,49.995599078917024,59.06819805629799
Joe Biden,2023-07-07,Approve,40.45230834415245,35.93500819395756,44.96960849434734
Joe Biden,2023-07-07,Disapprove,54.010168465835626,49.47315886419033,58.54717806748092
Joe Biden,2023-07-06,Approve,40.50356230212286,35.984322045837935,45.02280255840778
Joe Biden,2023-07-06,Disapprove,54.15189164565435,49.611978562469986,58.69180472883872
Joe Biden,2023-07-05,Approve,40.21764634351582,35.70843524985095,44.72685743718068
Joe Biden,2023-07-05,Disapprove,54.757571747448196,50.218277240612984,59.29686625428341
Joe Biden,2023-07-04,Approve,40.49239180989018,35.97872559574863,45.00605802403173
Joe Biden,2023-07-04,Disapprove,54.43521190431137,49.898317960528985,58.97210584809376
Joe Biden,2023-07-03,Approve,40.12993581076046,35.61538290709535,44.64448871442556
Joe Biden,2023-07-03,Disapprove,54.467453325563525,49.9293610699021,59.00554558122495
Joe Biden,2023-07-02,Approve,40.05014415079295,35.534859828944946,44.56542847264096
Joe Biden,2023-07-02,Disapprove,54.457333918020325,49.91833751106032,58.99633032498033
Joe Biden,2023-07-01,Approve,39.92627987662661,35.414061423495156,44.43849832975806
Joe Biden,2023-07-01,Disapprove,54.89502665022395,50.360488648889245,59.42956465155865
Joe Biden,2023-06-30,Approve,40.00535855512795,35.49007521790542,44.520641892350476
Joe Biden,2023-06-30,Disapprove,54.73744916431819,50.20330605554511,59.27159227309127
Joe Biden,2023-06-29,Approve,40.161049912097255,35.64529088813765,44.67680893605686
Joe Biden,2023-06-29,Disapprove,54.88833833371153,50.35041456165957,59.42626210576349
Joe Biden,2023-06-28,Approve,40.011022769672515,35.494539341444394,44.527506197900635
Joe Biden,2023-06-28,Disapprove,54.98759224521365,50.44857438172026,59.52661010870703
Joe Biden,2023-06-27,Approve,39.88979045943078,35.37863565915216,44.400945259709395
Joe Biden,2023-06-27,Disapprove,55.38253382653325,50.84910128189479,59.91596637117171
Joe Biden,2023-06-26,Approve,40.25864332099492,35.7473095956787,44.76997704631114
Joe Biden,2023-06-26,Disapprove,55.19735631175402,50.6630532361245,59.73165938738353
Joe Biden,2023-06-25,Approve,41.282154650822385,36.7714031758882,45.792906125756566
Joe Biden,2023-06-25,Disapprove,54.03284401038094,49.501071065145894,58.56461695561599
Joe Biden,2023-06-24,Approve,41.38021974558263,36.868620323446784,45.891819167718474
Joe Biden,2023-06-24,Disapprove,53.80027535998188,49.269550801560506,58.33099991840326
Joe Biden,2023-06-23,Approve,41.38053395078436,36.868934528648516,45.892133372920206
Joe Biden,2023-06-23,Disapprove,53.80764347812138,49.2769189197,58.338368036542754
Joe Biden,2023-06-22,Approve,41.481130570220664,36.96984753564766,45.99241360479367
Joe Biden,2023-06-22,Disapprove,53.836219310363184,49.30435877296545,58.36807984776092
Joe Biden,2023-06-21,Approve,41.24984074477516,36.7383698174975,45.76131167205283
Joe Biden,2023-06-21,Disapprove,54.02519542488973,49.49242010610865,58.55797074367081
Joe Biden,2023-06-20,Approve,41.13099102690889,36.62250357954245,45.63947847427532
Joe Biden,2023-06-20,Disapprove,54.10783789236535,49.57705313300417,58.63862265172655
Joe Biden,2023-06-19,Approve,41.35997128920894,36.8524050874033,45.86753749101459
Joe Biden,2023-06-19,Disapprove,54.04955303571221,49.51592370051927,58.58318237090515
Joe Biden,2023-06-18,Approve,41.25994468219166,36.75069188038951,45.76919748399381
Joe Biden,2023-06-18,Disapprove,54.29376309734798,49.75785738856466,58.829668806131295
Joe Biden,2023-06-17,Approve,41.220515282106774,36.711262480304626,45.72976808390892
Joe Biden,2023-06-17,Disapprove,54.33002506633657,49.79411935755325,58.865930775119885
Joe Biden,2023-06-16,Approve,41.18007436268225,36.6708215608801,45.689327164484396
Joe Biden,2023-06-16,Disapprove,54.36573675193438,49.82983104315106,58.901642460717696
Joe Biden,2023-06-15,Approve,41.0444926289626,36.53523982716046,45.55374543076474
Joe Biden,2023-06-15,Disapprove,54.46367615811605,49.92777044933273,58.99958186689937
Joe Biden,2023-06-14,Approve,40.74112064062242,36.23343386322546,45.24880741801938
Joe Biden,2023-06-14,Disapprove,54.757492224889575,50.22091172172189,59.29407272805726
Joe Biden,2023-06-13,Approve,40.52509879180176,36.022920343740374,45.027277239863146
Joe Biden,2023-06-13,Disapprove,55.25339260220936,50.719678312674034,59.787106891744685
Joe Biden,2023-06-12,Approve,40.09047635602575,35.58754482781622,44.59340788423529
Joe Biden,2023-06-12,Disapprove,55.64496171306143,51.11193475683196,60.1779886692909
Joe Biden,2023-06-11,Approve,40.30636326039381,35.80837442383011,44.80435209695751
Joe Biden,2023-06-11,Disapprove,55.346325363635465,50.81154958163926,59.88110114563167
Joe Biden,2023-06-10,Approve,40.507566177429695,36.00938250528902,45.00574984957037
Joe Biden,2023-06-10,Disapprove,54.943444304523254,50.40805044844932,59.478838160597185
Joe Biden,2023-06-09,Approve,40.465871671209364,35.96686496191195,44.964878380506775
Joe Biden,2023-06-09,Disapprove,54.787088719140435,50.25742625227286,59.31675118600801
Joe Biden,2023-06-08,Approve,40.599637584840146,36.100202742262304,45.09907242741799
Joe Biden,2023-06-08,Disapprove,55.079330871820346,50.55045160030213,59.60821014333856
Joe Biden,2023-06-07,Approve,40.65724332204623,36.167574680661474,45.14691196343098
Joe Biden,2023-06-07,Disapprove,55.1401399301851,50.611017477676384,59.669262382693816
Joe Biden,2023-06-06,Approve,40.38129538934156,35.89629712090297,44.86629365778015
Joe Biden,2023-06-06,Disapprove,55.581901554295484,51.05830352491776,60.10549958367321
Joe Biden,2023-06-05,Approve,40.325423507283055,35.84053361333654,44.81031340122957
Joe Biden,2023-06-05,Disapprove,55.97712630701479,51.451547839555616,60.50270477447397
Joe Biden,2023-06-04,Approve,40.48808531335453,35.99977602669288,44.976394600016185
Joe Biden,2023-06-04,Disapprove,56.094437241840744,51.56605569767214,60.62281878600935
Joe Biden,2023-06-03,Approve,40.48664563264434,35.998336345982686,44.97495491930599
Joe Biden,2023-06-03,Disapprove,56.07886848107487,51.55048693690627,60.607250025243474
Joe Biden,2023-06-02,Approve,40.49141011363657,36.003100826974915,44.97971940029822
Joe Biden,2023-06-02,Disapprove,56.05120762695897,51.52282608279037,60.57958917112757
Joe Biden,2023-06-01,Approve,40.475793379677334,35.986290067735716,44.96529669161895
Joe Biden,2023-06-01,Disapprove,55.71294328535044,51.18458564506089,60.24130092563999
Joe Biden,2023-05-31,Approve,40.86821848762777,36.37730161681215,45.359135358443396
Joe Biden,2023-05-31,Disapprove,55.07808848572939,50.548011996170295,59.60816497528848
Joe Biden,2023-05-30,Approve,40.537813718812885,36.04790956818495,45.02771786944082
Joe Biden,2023-05-30,Disapprove,55.234271398789474,50.709057695850184,59.759485101728764
Joe Biden,2023-05-29,Approve,40.69068294740355,36.203624537480444,45.17774135732666
Joe Biden,2023-05-29,Disapprove,55.3112637759275,50.787952180632196,59.834575371222805
Joe Biden,2023-05-28,Approve,40.69556102509708,36.20850261517397,45.182619435020186
Joe Biden,2023-05-28,Disapprove,55.309452924243175,50.78614132894787,59.83276451953848
Joe Biden,2023-05-27,Approve,40.96635874732607,36.47896777447434,45.4537497201778
Joe Biden,2023-05-27,Disapprove,55.06848937368532,50.545253092041065,59.59172565532957
Joe Biden,2023-05-26,Approve,40.89067963956341,36.402603168783045,45.37875611034377
Joe Biden,2023-05-26,Disapprove,55.0347148661597,50.51020752099321,59.559222211326194
Joe Biden,2023-05-25,Approve,40.62578614222654,36.13893784344111,45.11263444101196
Joe Biden,2023-05-25,Disapprove,55.29780089229049,50.774344063262774,59.821257721318204
Joe Biden,2023-05-24,Approve,40.917481807728585,36.431184797820904,45.403778817636265
Joe Biden,2023-05-24,Disapprove,55.00620317958252,50.48340919303253,59.52899716613251
Joe Biden,2023-05-23,Approve,41.16480647095046,36.677670287626654,45.651942654274265
Joe Biden,2023-05-23,Disapprove,55.070923899298954,50.544867034470656,59.59698076412725
Joe Biden,2023-05-22,Approve,40.96767070055093,36.48619737209498,45.44914402900689
Joe Biden,2023-05-22,Disapprove,55.02420390682425,50.49820953488976,59.550198278758735
Joe Biden,2023-05-21,Approve,41.04002937358955,36.555210866144634,45.52484788103446
Joe Biden,2023-05-21,Disapprove,54.738160031165094,50.2116278724668,59.26469218986339
Joe Biden,2023-05-20,Approve,41.32704539041037,36.84221581660155,45.811874964219186
Joe Biden,2023-05-20,Disapprove,54.401567987853454,49.87518001968908,58.927955956017826
Joe Biden,2023-05-19,Approve,41.60638527211111,37.12119246595776,46.09157807826446
Joe Biden,2023-05-19,Disapprove,54.290702863734545,49.7641916590658,58.81721406840329
Joe Biden,2023-05-18,Approve,41.66497106171197,37.17862957129659,46.151312552127344
Joe Biden,2023-05-18,Disapprove,53.97772645782853,49.45889237056022,58.49656054509684
Joe Biden,2023-05-17,Approve,41.589779676092654,37.108407782277474,46.07115156990783
Joe Biden,2023-05-17,Disapprove,53.95503903879698,49.43953123348297,58.470546844111
Joe Biden,2023-05-16,Approve,41.42513690330962,36.94105200602782,45.909221800591425
Joe Biden,2023-05-16,Disapprove,54.229647315730716,49.71357903206356,58.74571559939787
Joe Biden,2023-05-15,Approve,41.63855639472691,37.15703968207203,46.12007310738179
Joe Biden,2023-05-15,Disapprove,54.153962401531416,49.63927579598654,58.6686490070763
Joe Biden,2023-05-14,Approve,42.02379180383592,37.54461871256247,46.50296489510937
Joe Biden,2023-05-14,Disapprove,53.996751519046526,49.483474096613115,58.51002894147994
Joe Biden,2023-05-13,Approve,42.424779755470574,37.94539200575472,46.90416750518643
Joe Biden,2023-05-13,Disapprove,53.61478376207163,49.10171054229859,58.12785698184467
Joe Biden,2023-05-12,Approve,41.75082336704324,37.27567550061343,46.22597123347305
Joe Biden,2023-05-12,Disapprove,53.544031987585264,49.02972807466753,58.058335900502996
Joe Biden,2023-05-11,Approve,42.430230222689005,37.95879571443436,46.90166473094365
Joe Biden,2023-05-11,Disapprove,53.18829798762444,48.67513091628814,57.701465058960736
Joe Biden,2023-05-10,Approve,42.29710136398085,37.82456500433222,46.76963772362948
Joe Biden,2023-05-10,Disapprove,53.24501980952158,48.731122894226075,57.758916724817084
Joe Biden,2023-05-09,Approve,42.35812546015036,37.88558910050173,46.83066181979899
Joe Biden,2023-05-09,Disapprove,53.35845363330471,48.84455671800921,57.87235054860022
Joe Biden,2023-05-08,Approve,42.151882954288205,37.68731339793121,46.616452510645196
Joe Biden,2023-05-08,Disapprove,53.807028235911524,49.29957998146283,58.31447649036022
Joe Biden,2023-05-07,Approve,41.78901463861284,37.3307416895848,46.24728758764088
Joe Biden,2023-05-07,Disapprove,54.19324381305689,49.69553386740615,58.69095375870763
